Outcome,a,b,indirect_ab,boot_CI_low,boot_CI_high,direct_cprime,SE_direct,p_direct,total_effect,R2
D_L1_Req,3.1550000000000007,-2.9840606218970476,-9.414711262085188,0.06770115469875902,2.8209955685838732,0.3647112620851809,1.5566958923946355,0.8160549666917896,-9.05,0.9801740803083703
D_L1_Calque,3.1550000000000007,-1.8055918474000539,-5.696642278547171,0.6880481749512752,1.7153022353789096,0.7966422785471691,1.3146884908984438,0.5482441544238452,-4.9,0.9533216711794396
D_Latency,3.1550000000000007,-0.5842696629213489,-1.843370786516856,0.019787204466603554,0.11721543843065542,-0.5716292134831452,0.24888848368627592,0.027393963862336834,-2.4150000000000005,0.9927233985994431
D_Fluency,3.1550000000000007,0.5894956885288731,1.8598588973085952,0.07847546210165462,0.17507490704837053,3.105141102691406,0.3920374000495424,1.747042288613443e-09,4.965000000000001,0.995679557126082
